"x"
"Basque"
"Bedouin2"
"Druze"
"Cypriot"
"Tuscan"
"Sardinian"
"French"
"Spanish"
"Onge"
"Han"
"Mayan"
"Mixe"
"Surui"
"UstIshim"
"Kostenki"
"MA1"
"Loschbour"
"Iceman"
"Yamnaya"
"Clovis"
